ER25001,ER25002,ER25003,ER25004,ER27442,ER27451,ER27708,ER28037,ER36001,ER36002,ER36003,ER36004,ER40614,ER40622,ER41027,ER42001,ER42002,ER42003,ER42004,ER46592,ER46600,ER46935,ER47301,ER47302,ER47303,ER47304,ER51953,ER51961,ER52046,ER52343,ER53001,ER53002,ER53003,ER53004,ER57709,ER57730,ER58152,ER60001,ER60002,ER60003,ER60004,ER64869,ER64910,ER65349,ER66001,ER66002,ER66003,ER66004,ER70941,ER71042,ER71064,ER71426,ER72001,ER72002,ER72003,ER72004,ER76960,ER77064,ER77086,ER77448,ER78001,ER78002,ER78003,ER78004,ER81188,ER81340,ER81422,ER81775
7,1654,41,47,8,0,2,12852,8,1210,41,47,8,0,900,6,8471,41,47,8,0,10406,6,3552,41,47,8,0,0,17580,4,4618,41,47,8,0,14640,,,,,,,,,,,,,,,,1,6228,41,47,6,0,0,22820,2,6013,41,47,6,0,0,0
7,624,41,47,8,0,0,44000,8,5570,41,47,8,0,34600,6,163,41,47,8,0,43000,6,5882,41,47,8,0,1,84300,4,7139,41,47,8,0,77513,2,1616,41,47,8,0,89363,3,8276,41,47,8,0,0,91000,1,9326,41,47,15,0,0,67000,2,8920,41,47,15,0,0,62000
,,,,,,,,8,423,41,47,8,0,13498,6,8465,41,47,8,25,26200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1504,41,47,8,0,0,32748,8,7756,41,47,8,0,40296,6,8470,41,47,8,0,71512,6,975,41,47,8,0,0,34000,4,6170,41,47,8,0,44200,2,8520,41,47,8,0,15828,3,3859,41,47,8,0,0,34656,1,5234,41,47,6,0,52,36752,2,2013,41,47,6,0,0,43744
7,7566,41,47,0,0,5,20000,8,7878,41,47,0,30,54000,6,8312,41,47,0,0,46000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2997,41,47,14,0,5,69520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7098,41,47,8,50,135700,3,4162,41,47,8,0,1,45500,1,6282,41,47,6,0,1,47840,2,4065,41,47,6,0,0,5000
7,12,41,47,8,300,1,21106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,8244,41,47,8,600,1,68000,4,8024,41,47,8,0,38220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,8069,12,17,0,0,146500,6,3976,12,17,0,0,263000,6,8389,12,17,0,0,0,237387,4,5048,12,17,0,0,327825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,536,41,47,8,0,15,50088,4,1528,41,47,8,0,54585,2,587,41,47,8,0,41202,3,3894,41,47,8,0,0,47032,1,5026,41,47,6,0,45,55060,2,6970,41,47,6,150,1,45730
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2571,41,47,8,0,88520,3,4308,41,47,8,0,0,100222,1,9491,41,47,15,0,0,85980,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,987,41,47,8,0,20394,3,4039,41,47,8,0,0,24000,,,,,,,,,,,,,,,,
